epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,4190.52,0.92642,0.45227,1.09551,0.95509,0.90991,0.96059,0.68155,1.30356,0.44891,1.43149,0.0067528,0.0067528,0.0067528
166,4213.85,0.92646,0.45147,1.08861,0.95569,0.91473,0.96099,0.67956,1.31224,0.4455,1.42431,0.006733,0.006733,0.006733
167,4237.45,0.92078,0.44415,1.08483,0.95375,0.92036,0.96137,0.68495,1.31715,0.43982,1.43591,0.0067132,0.0067132,0.0067132
168,4260.77,0.91565,0.4445,1.08962,0.95602,0.91818,0.96156,0.68886,1.30796,0.44124,1.44243,0.0066934,0.0066934,0.0066934
169,4284.36,0.91313,0.44581,1.08442,0.93618,0.92538,0.96195,0.68589,1.3136,0.44087,1.43754,0.0066736,0.0066736,0.0066736
170,4307.69,0.9154,0.44873,1.09111,0.95573,0.90933,0.95987,0.68669,1.31694,0.44695,1.43744,0.0066538,0.0066538,0.0066538
171,4331.29,0.90978,0.4444,1.08068,0.96034,0.91518,0.96371,0.68567,1.31507,0.44445,1.45192,0.006634,0.006634,0.006634
172,4354.6,0.91349,0.44664,1.09224,0.95919,0.91497,0.96678,0.6845,1.31423,0.44766,1.44677,0.0066142,0.0066142,0.0066142
173,4378.19,0.91182,0.43805,1.08186,0.95303,0.92893,0.96551,0.68401,1.31135,0.4376,1.43514,0.0065944,0.0065944,0.0065944
174,4404.29,0.90796,0.443,1.08528,0.95633,0.92296,0.96374,0.68801,1.31011,0.43546,1.43456,0.0065746,0.0065746,0.0065746
175,4430.28,0.91001,0.44236,1.08119,0.96334,0.92052,0.96559,0.68592,1.3051,0.43364,1.43609,0.0065548,0.0065548,0.0065548
176,4456.36,0.90377,0.43688,1.08007,0.96625,0.9144,0.96054,0.68024,1.31632,0.44284,1.44216,0.006535,0.006535,0.006535
177,4482.74,0.90568,0.4449,1.0827,0.96038,0.91763,0.96195,0.67573,1.32942,0.44558,1.44862,0.0065152,0.0065152,0.0065152
178,4508.88,0.89969,0.4372,1.06721,0.96639,0.91761,0.96152,0.6772,1.3178,0.447,1.45056,0.0064954,0.0064954,0.0064954
