epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,3139.93,1.0121,0.48479,1.11715,0.95455,0.90995,0.96053,0.68656,1.28758,0.44615,1.32397,0.0078616,0.0078616,0.0078616
110,3169.18,1.00427,0.48093,1.11389,0.95516,0.90808,0.96371,0.6925,1.27131,0.44536,1.31257,0.0078418,0.0078418,0.0078418
111,3198.46,1.00174,0.47535,1.10913,0.95804,0.90613,0.95431,0.68054,1.28105,0.45186,1.33279,0.007822,0.007822,0.007822
112,3227.66,1.00541,0.48046,1.11329,0.95135,0.9063,0.9562,0.68124,1.30543,0.45041,1.32783,0.0078022,0.0078022,0.0078022
113,3256.93,1.00052,0.47482,1.1086,0.95983,0.90449,0.95791,0.68199,1.29808,0.44707,1.33691,0.0077824,0.0077824,0.0077824
114,3286.16,0.99987,0.47827,1.10556,0.94396,0.92006,0.95855,0.68945,1.28505,0.44445,1.32766,0.0077626,0.0077626,0.0077626
115,3315.32,0.99091,0.47414,1.10322,0.95638,0.92065,0.95855,0.68244,1.29727,0.44289,1.32076,0.0077428,0.0077428,0.0077428
116,3344.54,0.9864,0.47081,1.10225,0.95903,0.91916,0.96077,0.68975,1.28718,0.4397,1.33153,0.007723,0.007723,0.007723
117,3373.78,0.98858,0.47151,1.10564,0.94455,0.91548,0.96073,0.68292,1.29387,0.44564,1.32777,0.0077032,0.0077032,0.0077032
118,3402.93,0.9962,0.47779,1.10725,0.95107,0.91001,0.95694,0.67947,1.29877,0.45346,1.34088,0.0076834,0.0076834,0.0076834
119,3432.03,0.98206,0.46958,1.09997,0.95565,0.90179,0.95647,0.68319,1.29414,0.4454,1.33616,0.0076636,0.0076636,0.0076636
120,3461.17,0.9812,0.47244,1.10732,0.95565,0.92223,0.95729,0.67579,1.30005,0.45326,1.36335,0.0076438,0.0076438,0.0076438
121,3490.42,0.97563,0.46783,1.10241,0.95553,0.91359,0.96081,0.68058,1.28455,0.43907,1.35232,0.007624,0.007624,0.007624
122,3519.6,0.97172,0.46404,1.10201,0.94916,0.92064,0.9612,0.69378,1.28609,0.43699,1.34751,0.0076042,0.0076042,0.0076042
123,3549.95,0.96799,0.46305,1.09478,0.95401,0.90848,0.95757,0.68187,1.30132,0.44176,1.36571,0.0075844,0.0075844,0.0075844
124,3580.67,0.97212,0.46615,1.10828,0.94405,0.91904,0.9601,0.68701,1.3005,0.43791,1.35538,0.0075646,0.0075646,0.0075646
125,3611.31,0.96271,0.46447,1.09306,0.95058,0.90786,0.95462,0.68483,1.29387,0.43867,1.33699,0.0075448,0.0075448,0.0075448
126,3641.39,0.96543,0.46005,1.09454,0.95592,0.90773,0.95739,0.67807,1.29748,0.43911,1.3418,0.007525,0.007525,0.007525
127,3671.38,0.95451,0.45554,1.09391,0.95576,0.91455,0.95977,0.67979,1.30214,0.44259,1.35888,0.0075052,0.0075052,0.0075052
128,3701.19,0.96098,0.46297,1.09785,0.959,0.91082,0.95634,0.67965,1.30123,0.44802,1.36166,0.0074854,0.0074854,0.0074854
